Instance_ID Group_ID
HGDP00241 Pathan
HGDP00226 Pathan
HGDP00218 Pathan
HGDP00216 Pathan
HGDP00259 Pathan
HGDP00262 Pathan
HGDP00258 Pathan
HGDP00222 Pathan
HGDP00254 Pathan
HGDP00243 Pathan
HGDP00264 Pathan
HGDP00244 Pathan
Rps-002 Russian
Rrzm-13 Russian
Rkbo-58 Russian
Rkbo-12 Russian
Rps-012 Russian
Rbgp-201 Russian
HGDP00896 Russian
RYAR-232 Russian
RYAR-223 Russian
Rbgp-205 Russian
Rrzs-58 Russian
HGDP00879 Russian
Rorl-155 Russian
Rkuch-58 Russian
Rrzs-32 Russian
HGDP00901 Russian
Rorl-114 Russian
Rsm-181 Russian
HGDP00902 Russian
Rorl-110 Russian
Rakr-205 Russian_Archangelsk_Krasnoborsky
Rakr-237 Russian_Archangelsk_Krasnoborsky
Rakr-203 Russian_Archangelsk_Krasnoborsky
Rakr-345 Russian_Archangelsk_Krasnoborsky
Rakr-341 Russian_Archangelsk_Krasnoborsky
Rakr-248 Russian_Archangelsk_Krasnoborsky
Rakrlsh-149 Russian_Archangelsk_Leshukonsky
Rakrlsh-144 Russian_Archangelsk_Leshukonsky
Rakrlsh-002 Russian_Archangelsk_Leshukonsky
Rakrlsh-140 Russian_Archangelsk_Leshukonsky
Rakrlsh-143 Russian_Archangelsk_Leshukonsky
RPin-114 Russian_Archangelsk_Pinezhsky
RPin-123 Russian_Archangelsk_Pinezhsky
RPin-143 Russian_Archangelsk_Pinezhsky
RPin-151 Russian_Archangelsk_Pinezhsky
RPin-145 Russian_Archangelsk_Pinezhsky
HGDP00674 Sardinian
HGDP00670 Sardinian
HGDP01079 Sardinian
HGDP01062 Sardinian
HGDP01074 Sardinian
HGDP01073 Sardinian
HGDP01069 Sardinian
HGDP00669 Sardinian
HGDP00668 Sardinian
HGDP01072 Sardinian
HGDP01077 Sardinian
HGDP01063 Sardinian
HGDP00672 Sardinian
HGDP00666 Sardinian
HGDP01067 Sardinian
HGDP01076 Sardinian
HGDP00673 Sardinian
HGDP01068 Sardinian
HGDP01066 Sardinian
HGDP01065 Sardinian
HGDP01328 She
HGDP01329 She
HGDP01330 She
HGDP01331 She
HGDP01332 She
HGDP01336 She
HGDP01327 She
HGDP01334 She
HGDP01333 She
HGDP01335 She
KHS-036 Shor_Khakassia
KHS-049 Shor_Khakassia
KHS-012 Shor_Khakassia
KHS-035 Shor_Khakassia
KHS-001 Shor_Khakassia
KHS-034 Shor_Khakassia
Shor-204 Shor_Mountain
Shor-293 Shor_Mountain
Shor-262 Shor_Mountain
Shor-209 Shor_Mountain
Shor-202 Shor_Mountain
Shor-263 Shor_Mountain
Shor-292 Shor_Mountain
HGDP00208 Sindhi_Pakistan
HGDP00187 Sindhi_Pakistan
HGDP00201 Sindhi_Pakistan
HGDP00169 Sindhi_Pakistan
HGDP00195 Sindhi_Pakistan
HGDP00205 Sindhi_Pakistan
HGDP00210 Sindhi_Pakistan
HGDP00167 Sindhi_Pakistan
HGDP00191 Sindhi_Pakistan
HGDP00179 Sindhi_Pakistan
HGDP00181 Sindhi_Pakistan
HGDP00206 Sindhi_Pakistan
HGDP00171 Sindhi_Pakistan
HGDP00197 Sindhi_Pakistan
syria6 Syrian
syria464 Syrian
syria7 Syrian
syria485 Syrian
syria520 Syrian
syria461 Syrian
syria4 Syrian
syria361 Syrian
DAG-147 Tabasaran
DAG-152 Tabasaran
DAG-122 Tabasaran
DAG-178 Tabasaran
DAG-183 Tabasaran
DAG-127 Tabasaran
DAG-160 Tabasaran
DAG-124 Tabasaran
DAG-090 Tabasaran
DAG-123 Tabasaran
TTR-249 Tatar_Kazan
TTR-217 Tatar_Kazan
TTR-097 Tatar_Kazan
TTR-201 Tatar_Kazan
TTR-245 Tatar_Kazan
TTR-086 Tatar_Kazan
TTR-330 Tatar_Kazan
TTR-514 Tatar_Kazan
TTR-094 Tatar_Kazan
TTR-244 Tatar_Kazan
TTR-250 Tatar_Kazan
TTR-501 Tatar_Kazan
TTR-493 Tatar_Kazan
TTR-464 Tatar_Mishar
TTR-359 Tatar_Mishar
TTR-272 Tatar_Mishar
TTR-436 Tatar_Mishar
TTR-271 Tatar_Mishar
TTR-460 Tatar_Mishar
TTR-462 Tatar_Mishar
TTR-362 Tatar_Mishar
TTR-356 Tatar_Mishar
TTR-241 Tatar_Mishar
STA-120 Tatar_Siberian
STA-006 Tatar_Siberian
STA-004 Tatar_Siberian
STA-112 Tatar_Siberian
STA-304 Tatar_Siberian
STA-306 Tatar_Siberian
STA-003 Tatar_Siberian
STA-126 Tatar_Siberian
STA-122 Tatar_Siberian
STA-211 Tatar_Siberian
